lab_testcode,Local Name,Counts
HLA-Cw_1_sbt-BL,HLA-Cw (SBT),13
HLA-Cw_1_sso-BL,HLA-Cw (SSO),93
HLA-Cw_2_ngs-BL,HLA-Cw  NGS,45
HLA-Cw_2_sbt-BL,HLA-Cw (SBT),9
HLA-Cw_2_sso-BL,HLA-Cw (SSO),60
HLA-DPB1_1_ngs-BL,HLA-DPB1 1 ngs BL,46
HLA-DPB1_2_ngs-BL,HLA-DPB1 2 ngs BL,40
HLA-DQ2-8_sso-BL,HLA-DQ2/8 (SSO),50
HLA-DQA1_1_sso-BL,HLA-DQA1 (SSO),163
HLA-DQA1_2_sso-BL,HLA-DQA1 (SSO),128
HLA-DQB1_1_ngs-BL,HLA-DQB1  NGS,55
HLA-DQB1_1_sbt-BL,HLA-DQB1 (SBT),14
HLA-DQB1_1_sso-BL,HLA-DQB1 (SSO),165
HLA-DQB1_2_ngs-BL,HLA-DQB1  NGS,48
HLA-DQB1_2_sbt-BL,HLA-DQB1 (SBT),11
HLA-DQB1_2_sso-BL,HLA-DQB1 (SSO),120
HLA-DRB1_1_ngs-BL,HLA-DRB1  NGS,54
HLA-DRB1_1_sbt-BL,HLA-DRB1 (SBT),15
HLA-DRB1_1_sso-BL,HLA-DRB1 (SSO),131
HLA-DRB1_2_ngs-BL,HLA-DRB1  NGS,49
HLA-DRB1_2_sbt-BL,HLA-DRB1 (SBT),12
HLA-DRB1_2_sso-BL,HLA-DRB1 (SSO),108
HLA-LSM-BL,LSM,216
Homocysteine-BL,HomocysteÔne,1867
Hond-BL,Hond,75
HowJolLich-BL,Howell-Jolly lichaampjes,33
HsCRP-BL,HsCRP,4874
Ht-BL,Hematocriet,79958
HuisstofmijtD1-BL,Huisstofmijt,88
HyalCyl-UP,Hyalinecylinders,5285
Hydrochlorthiazon-UP,Hydrochloorthiazon,11
Hydroxymidazolam-BL,Hydroxymidazolam,15
Hypersegm-BL,Hypersegmentatie,61
Hypochroom-BL,Hypochromasie,97
IC-Anisochroom-BL,Anisochroom,27
IC-Anisoplanie-BL,Anisoplanie,123
IC-AnisoTrombo-BL,Anisotrombo,51
IC-BasofielRel-BL,Basofiel,224
IC-BasoStip-BL,Basofiele stippeling,15
IC-BLastRel-BL,Blast,224
IC-Burrcel-BL,Burr cellen,15
IC-Elliptocyt-BL,Elliptocyten,75
IC-EosinofielRel-BL,Eosinofiel,224
IC-ErythroblastAbs-BL,Erythroblasten,224
IC-Fragmentocyt-BL,Fragmentocyten,25
IC-Geldrol-BL,Geldrolvorming,59
IC-HowJolLich-BL,Howell-Jolly lichaampjes,26
IC-Hypersegm-BL,Hypersegmentatie,63
IC-Hypochroom-BL,Hypochromasie,32
IC-HypogranLeu-BL,Hypogranulatie,28
IC-Kernpyknose-BL,Kernpyknose,51
IC-LymfoblastRel-BL,Lymfoblast,192
IC-LymfocytRel-BL,Lymfocyt,224
IC-Macroplanie-BL,Macroplanie,11
IC-MetamyelocytRel-BL,Metamyelocyt,224
IC-MonocytRel-BL,Monocyt,224
IC-MyelocytRel-BL,Myelocyt,223
IC-OverigCalcRel-BL,Overig (Calc),224
IC-PelgerHuetPs-BL,Pseudo Pelger Huet,21
IC-Plasmablast-BL,Plasmablast,192
IC-PlasmacelRel-BL,Plasmacel,224
IC-Poikilocyt-BL,Poikilocyten,16
IC-Polychr-BL,Polychromasie,37
IC-PromonocytRel-BL,Promonocyt,224
IC-PromyelocytRel-BL,Promyelocyt,224
IC-Reuzentrombo-BL,Reuzentrombocyten,74
IC-Rijpingsdiss-BL,Rijpingsdissociatie,8
IC-SegmentRel-BL,Segment,224
IC-Sferocyt-BL,Sferocyten,8
IC-StaafRel-BL,Staaf,224
IC-Targetcel-BL,Targetcellen,16
IC-TearDrop-BL,Teardrop cellen,24
IC-ToxKor-BL,Toxische korreling,56
IC-Tromboklontjes-BL,Trombocytenklontjes,20
IC-Vacuolisatie-BL,Vacuolisatie,25
IgA1-BL,IgA1,14
IgA2-BL,IgA2,14
IgAGeheugenB-BL,IgA geheugen B-cellen,26
IgAtot-BL,IgA-totaal,1252
IgD-BL,IgD,173
IgEtot-BL,IgE-totaal,472
IGF1_nmol-BL,IGF-I,670
IGF1_SD-BL,IGF-I SD waarde,663
IGF1-BL,IGF-I,183
IGFBP3-BL,IGFBP-3,19
IgG1-BL,IgG1,249
IgG2-BL,IgG2,249
IgG3-BL,IgG3,249
IgG4-BL,IgG4,249
IgGGeheugenB-BL,IgG geheugen B-cellen,26
IgGtot-BL,IgG-totaal,1406
IgMGeheugenB-BL,IgM geheugen B-cellen,26
IgMtot-BL,IgM-totaal,963
IJzer-BL,IJzer,5400
Imipramine-BL,Imipramine,11
Indapamide-UP,Indapamide,10
InfliximabIgG-BL,Infliximab IgG,37
InfliximabIgGDS-BL,Infliximab IgG (DS),36
InhalatieScreen-BL,Inhalatie screening,205
InhibineA-BL,Inhibine A,38
InhibineB-BL,Inhibine B,44
Insuline-0.30h-BL,Insuline (0:30 h),16
Insuline-0h-BL,Insuline (0:00 h),22
Insuline-1.30h-BL,Insuline (1:30 h),15
Insuline-1h-BL,Insuline (1:00 h),16
Insuline-2h-BL,Insuline (2:00 h),21
Insuline-BL,Insuline,7731
IntrFact-BL,anti-Intrinsieke factor,172
IRF-BL,IRF,3060
Isavuconazol-BL,Isavuconazol,14
IsavuconazolDS-BL,Isavuconazol (DS),15
IsoAntiA-BL,Iso antistoffen anti A,37
IsoAntiB-BL,Iso antistoffen anti B,37
Kalium-BL,Kalium,128608
Kalium-UP,Kalium,1280
Kalium-UV,Kalium,1964
KaliumVol-UV,Kalium /24u,1740
Kat-BL,Kat,81
Kell_K-BL,Kell syst.: grote K,450
Kernpyknose-BL,Kernpyknose,19
Ketonen-UP,Ketonen,365
Kidd_Jka-BL,Kidd syst.: Jk(a),14
Kidd_Jkb-BL,Kidd syst.: Jk(b),14
Kinidine-BL,Kinidine,43
KinidineDS-BL,Kinidine (DS),43
KIR-haplotype-BL,KIR haplotype,25
