Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
135,mht02b,Niet/wel thiazide diuretica (vanaf juli 2001), ,    0,Nee, ,"8, 9"
135,mht02b,Niet/wel thiazide diuretica (vanaf juli 2001), ,    1,Ja, ,"8, 9"
135,mht02b,Niet/wel thiazide diuretica (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
135,mht02b,Niet/wel thiazide diuretica (vanaf juli 2001), ,    9,Missend, ,"8, 9"
136,mht02c,Niet/wel kaliumsparende diuretica (vanaf juli 2001), ,    0,Nee, ,"8, 9"
136,mht02c,Niet/wel kaliumsparende diuretica (vanaf juli 2001), ,    1,Ja, ,"8, 9"
136,mht02c,Niet/wel kaliumsparende diuretica (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
136,mht02c,Niet/wel kaliumsparende diuretica (vanaf juli 2001), ,    9,Missend, ,"8, 9"
137,mht02d,Niet/wel aldosteronantagonisten (vanaf juli 2001), ,    0,Nee, ,"8, 9"
137,mht02d,Niet/wel aldosteronantagonisten (vanaf juli 2001), ,    1,Ja, ,"8, 9"
137,mht02d,Niet/wel aldosteronantagonisten (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
137,mht02d,Niet/wel aldosteronantagonisten (vanaf juli 2001), ,    9,Missend, ,"8, 9"
138,mht03,Niet/wel L30 med. (ACE-remmers), ,    0,Nee, ,9
138,mht03,Niet/wel L30 med. (ACE-remmers), ,    1,Ja, ,9
138,mht03,Niet/wel L30 med. (ACE-remmers), ,    9,Missend, ,9
139,mht04,Niet/wel L40 med. (calciumantagonisten), ,    0,Nee, ,9
139,mht04,Niet/wel L40 med. (calciumantagonisten), ,    1,Ja, ,9
139,mht04,Niet/wel L40 med. (calciumantagonisten), ,    9,Missend, ,9
140,mht05,Niet/wel L50 med. (sel. alpha1-rec.-blokk. sympathicolytica), ,    0,Nee, ,9
140,mht05,Niet/wel L50 med. (sel. alpha1-rec.-blokk. sympathicolytica), ,    1,Ja, ,9
140,mht05,Niet/wel L50 med. (sel. alpha1-rec.-blokk. sympathicolytica), ,    9,Missend, ,9
141,mht06,Niet/wel L60 med. (combinatiepreparaten), ,    0,Nee, ,9
141,mht06,Niet/wel L60 med. (combinatiepreparaten), ,    1,Ja, ,9
141,mht06,Niet/wel L60 med. (combinatiepreparaten), ,    9,Missend, ,9
142,mht07,Niet/wel L70 med. (centraal aangrijpende antihypertensiva), ,    0,Nee, ,9
142,mht07,Niet/wel L70 med. (centraal aangrijpende antihypertensiva), ,    1,Ja, ,9
142,mht07,Niet/wel L70 med. (centraal aangrijpende antihypertensiva), ,    9,Missend, ,9
143,mht12,Niet/wel D20 med. (angiotensine II (AT1)-antagonisten), ,    0,Nee, ,9
143,mht12,Niet/wel D20 med. (angiotensine II (AT1)-antagonisten), ,    1,Ja, ,9
143,mht12,Niet/wel D20 med. (angiotensine II (AT1)-antagonisten), ,    9,Missend, ,9
144,mht33,Niet/wel restgroep hypertensie-medicatie, ,    0,Nee, ,9
144,mht33,Niet/wel restgroep hypertensie-medicatie, ,    1,Ja, ,9
144,mht33,Niet/wel restgroep hypertensie-medicatie, ,    9,Missend, ,9
145,mht41,Niet/wel direct-acting vasodilator, ,    0,Nee, ,9
145,mht41,Niet/wel direct-acting vasodilator, ,    1,Ja, ,9
145,mht41,Niet/wel direct-acting vasodilator, ,    9,Missend, ,9
146,mliphoop,Niet/wel lipidenverlagers niet gespecificeerd, ,    0,Nee, ,9
146,mliphoop,Niet/wel lipidenverlagers niet gespecificeerd, ,    1,Ja, ,9
146,mliphoop,Niet/wel lipidenverlagers niet gespecificeerd, ,    9,Missend, ,9
147,mli01,Niet/wel statines (vanaf juli 2001), ,    0,Nee, ,"8, 9"
147,mli01,Niet/wel statines (vanaf juli 2001), ,    1,Ja, ,"8, 9"
147,mli01,Niet/wel statines (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
147,mli01,Niet/wel statines (vanaf juli 2001), ,    9,Missend, ,"8, 9"
148,mli02,Niet/wel fibraten (vanaf juli 2001), ,    0,Nee, ,"8, 9"
148,mli02,Niet/wel fibraten (vanaf juli 2001), ,    1,Ja, ,"8, 9"
148,mli02,Niet/wel fibraten (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
148,mli02,Niet/wel fibraten (vanaf juli 2001), ,    9,Missend, ,"8, 9"
149,mli03,Niet/wel galzuurbindende harsen (vanaf juli 2001), ,    0,Nee, ,"8, 9"
149,mli03,Niet/wel galzuurbindende harsen (vanaf juli 2001), ,    1,Ja, ,"8, 9"
149,mli03,Niet/wel galzuurbindende harsen (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
149,mli03,Niet/wel galzuurbindende harsen (vanaf juli 2001), ,    9,Missend, ,"8, 9"
